id;audit_date;hosp_name;is_audit_complete;free_field_1;free_field_2;free_field_3;free_field_4;remark;created_by;created_date;last_modified;last_modified_by
1;2021-09-15;Small;true;synthesize Auto Franc;calculating;copying;Awesome explicit Granite;Litas motivating Republic;Haiti;2021-09-15;2021-09-15;state
2;2021-09-14;reinvent program;false;Chair Sharable hack;bandwidth;grow panel;Islands, Consultant;quantify;Books niches;2021-09-15;2021-09-15;Rustic paradigm
3;2021-09-15;mobile projection RSS;true;Zealand;focus;indexing;impactful;withdrawal Berkshire orchid;Borders application Account;2021-09-14;2021-09-14;Leu York Account
4;2021-09-14;Practical;true;Fish Account;heuristic discrete EXE;Mali;transmitting installation program;International Card;Account CSS payment;2021-09-14;2021-09-15;deposit
5;2021-09-15;Sausages turquoise;false;orchestration Intranet;cyan Tonga;Peso Programmable Money;Developer Future;Representative Steel;cross-platform;2021-09-14;2021-09-15;Principal Pants
6;2021-09-14;Hawaii expedite;true;Auto;Loop deposit Central;world-class;aggregate Investor;Future firewall;incremental Legacy;2021-09-14;2021-09-14;Home
7;2021-09-15;Franc;true;Fish Concrete Leone;Colorado;Peso bluetooth engineer;visionary Account feed;SQL Taka calculating;real-time Movies initiatives;2021-09-14;2021-09-14;Frozen olive
8;2021-09-14;Kiribati;false;Avon;Markets;Secured lavender;Cotton;Steel Soft calculate;azure Cambridgeshire Shoes;2021-09-14;2021-09-15;invoice Keyboard
9;2021-09-14;contingency Texas Manager;true;interface Metal Account;Infrastructure haptic deposit;Pre-emptive Operations Architect;JBOD;Sausages lavender Berkshire;sexy;2021-09-15;2021-09-15;stable
10;2021-09-15;systems Mouse Games;false;deliver Checking XML;responsive Directives Digitized;incubate;Planner Shoes Handcrafted;Garden evolve Fresh;Health Pike;2021-09-15;2021-09-15;Ball
